artist,song
Les Miserables,the runaway cart
Kiss,move on
Journey,one more
Poison,what i like about you
Johnny Cash,children go where i send thee
Louis Armstrong,high society calypso
The Temptations,sing a simple song
Devo,i need a chick
Natalie Grant,crosses and crowns
Roy Orbison,coming home
Cake,you part the waters
Clash,corner soul
Adam Sandler,the excited southerner orders a meal
John Denver,peace poem
Pet Shop Boys,psychological
Rage Against The Machine,down rodeo
Cher,believe
Within Temptation,our solemn hour
Arlo Guthrie,someday
Kenny Loggins,i'm alright
Doobie Brothers,without you
Peter Cetera,baby what a big surprise
Madonna,more
Joni Mitchell,"answer me, my love"
Unseen,fight for a better life
Olivia Newton-John,magic
Rihanna,fool in love
Guns N' Roses,patience
INXS,i'm just a man
Linda Ronstadt,colorado
Heart,under the sky
Kenny Loggins,coventry carol
Eminem,eye of the tiger
Nitty Gritty Dirt Band,walkin' in the sunshine
Def Leppard,pour some sugar on me
Adam Sandler,creepin' on the mayor
Norah Jones,miriam
Bob Marley,simmer down
Sublime,new thrash
Poison,hollyweird
Zox,rain on me
Idina Menzel,straw into gold
Conway Twitty,coal miner's daughter
The Temptations,ain't no sun since you've been gone
Rihanna,love is the only way
Bruce Springsteen,a night with the jersey devil
Taylor Swift,somebody to hold
Bill Withers,harlem
Roy Orbison,it wasn't very long ago
Europe,dreamer
Depeche Mode,fools
Chuck Berry,driftin' blues
Conway Twitty,hey little lucy! (don'tcha put no lipstick on)
Tori Amos,hotel
U2,red light
Electric Light Orchestra,baby i apologise
John Denver,alfie the christmas tree
Linda Ronstadt,a number and a name
Incubus,in the company of wolves
Guided By Voices,the hard way
Hillsong United,here now (madness)
Coldplay,streets of baltimore
Counting Crows,ghost train
Manowar,the sons of odin
Fiona Apple,angel
Gloria Gaynor,suddenly
Demi Lovato,back around
Prince,dirty mind
Dave Matthews Band,break free (6-16-06)
Allman Brothers Band,layla
Steve Miller Band,blue eyes
Bob Rivers,7-11 (seven eleven)
Elton John,breaking down barriers
The Weeknd,belong to the world
Squeeze,tempted
The Temptations,"baby, baby i need you"
Jennifer Lopez,loving you
Thin Lizzy,brought down
Quicksilver Messenger Service,i found love
Lenny Kravitz,let love rule
Rihanna,photographs
Planetshakers,my hero
America,to each his own
Nirvana,negative creep
Enya,stars and midnight blue
Chris Rea,deep water
Radiohead,pyramid song
Face To Face,so long
Prince,"a 1,000 hugs and kisses"
Pink Floyd,flaming
Tom Lehrer,my home town
Don Moen,creator king
Offspring,trust in you
Rod Stewart,makin' whoopee
UB40,i'm not fooled so easily
Uriah Heep,rough justice
Bing Crosby,at last
Michael W. Smith,shine on us
The Beatles,lend me your comb
Hillsong,more than anything
Kelly Family,ares qui
UB40,wedding day
Kanye West,bad news
Pat Benatar,in these times
Adam Sandler,like a hurricane
Guns N' Roses,look at your game girl
Ufo,outlaw man
Carly Simon,all the love in the world
Stone Temple Pilots,pruno
Metallica,green hell
Maroon 5,everyday goodbyes
Amy Grant,doubly good to you
Kenny Chesney,don't blink
Ed Sheeran,faces
Will Smith,mr. niceguy
U2,ordinary love
J Cole,enchanted
Hillsong,love song
Red Hot Chili Peppers,make you feel better
Chicago,loneliness is just a word
Quicksilver Messenger Service,don't cry my lady love
Hank Snow,it's four in the morning
Nickelback,falls back on
Allman Brothers Band,heart of stone
Wanda Jackson,between the window and the phone
Quincy Punx,be my alibi
R. Kelly,forever and ever
Judds,old pictures
Donna Summer,lamb of god
System Of A Down,highway song
Hanson,christmas time
George Formby,auntie maggie's remedy
Norah Jones,not my friend
Steve Miller Band,love shock
Ween,awesome sound
Fabolous,no need for conversation
Erik Santos,all i want this christmas
Scorpions,10 light years away
Boney M.,let it all be music
James Taylor,i will not lie for you
Drake,over my dead body
David Guetta,commander
Kelly Clarkson,bad reputation
Tom T. Hall,a week in a country jail
Children,irish lullaby
Richard Marx,touch of heaven
Overkill,hammerhead
Rod Stewart,i'd rather go blind
Tim McGraw,you had to be there
Nina Simone,real real
Kelly Family,ego
Tom Waits,drunk on the moon
Mariah Carey,irresistible
Marianne Faithfull,guilt
Keith Urban,red camaro
Bonnie Raitt,the fundamental things
Alabama,reckless
Frank Sinatra,but not for me
Offspring,why don't get a job?
Will Smith,so fresh
Kim Wilde,brothers
Nightwish,she is my sin
Rihanna,saxon
Linda Ronstadt,different drum
Owl City,peppermint winter
Cyndi Lauper,maybe i'm amazed
Vince Gill,old time fiddle
